,State,Slope,Intercept,R-Value,P-Value,Std Err
0,AK,-1.1190224437514488e-05,31.28815276468618,-0.49763483648887163,7.999471391328257e-11,1.59789269883456e-06
1,AL,-4.2063731559977486e-05,887.0907273011383,-0.2476818232585349,0.002168015310991472,1.3479482789832554e-05
2,AR,-1.0516359748067794e-05,230.3221732071534,-0.06587093798312198,0.42163807682704046,1.3050711963051077e-05
3,AZ,-8.890366689631535e-05,2339.037232592182,-0.31397446545819413,8.64169914233429e-05,2.202398047937647e-05
4,CA,-3.4415853202586444e-05,5199.340466802579,-0.5302391423298161,2.5262066486257037e-12,4.5082883828616715e-06
5,CO,-3.458981950891221e-05,925.2043695257665,-0.5407363233565672,7.661505895008782e-13,4.408235905675622e-06
6,CT,-0.00011607231540497557,1663.0072198281284,-0.4631803039530846,2.117443708056105e-09,1.8194853970096693e-05
7,DC,-3.845089292011094e-05,279.58275286394667,-0.49232085015521937,1.3581172777764275e-10,5.569174599461379e-06
8,DE,-4.676679753793654e-05,222.83434729589243,-0.21609477424356358,0.007700801321394035,1.7310743597236403e-05
9,FL,-4.1403904242353456e-05,3694.1139171548807,-0.21813593093693456,0.007130082533970159,1.517520120986493e-05
10,GA,-3.0944469079797026e-05,1550.0315110322335,-0.222959592953281,0.00592808499250994,1.1083874364081184e-05
11,HI,-5.785625241955233e-06,27.95901285601146,-0.5251845955397384,4.422532025943064e-12,7.680133889066179e-07
12,IA,-1.1981657411915293e-05,317.9476119714268,-0.0825287569419186,0.31373163487235567,1.1853167216965445e-05
13,ID,-2.12382661099287e-05,150.3178755192463,-0.205903144526528,0.01120008249754252,8.2690553069059e-06
14,IL,-6.389342060329298e-05,3740.925939390084,-0.43868211288748105,1.7602488006313497e-08,1.072259595430809e-05
15,IN,-3.402997694471887e-05,1075.9434429992082,-0.33432526943238905,2.7228058365293377e-05,7.858889969299334e-06
16,KS,-1.5751769237719335e-05,247.98880477031955,-0.16365070360593958,0.0446624415542789,7.77899506333684e-06
17,KY,-7.2264877313680145e-06,218.15240197385702,-0.11373998472028381,0.1643580108910224,5.171225231358719e-06
18,LA,-0.0001008790290893207,2022.449548327047,-0.4946647562978094,1.0765382682929784e-10,1.451972803392726e-05
19,MA,-0.00010395758753979055,3489.74589962245,-0.4571138229318056,3.6339302857169377e-09,1.6570661089852917e-05
20,MD,-5.318517952985824e-05,1511.4810589675556,-0.32612963621968627,4.3783925860985966e-05,1.2629565166962631e-05
21,ME,7.53414070645668e-07,18.550124455504843,0.02102017538273539,0.7978102204171706,2.9356771335589287e-06
22,MI,-6.5090338604422e-05,2511.8220420124135,-0.4808525912342464,4.12858917122311e-10,9.723277844554257e-06
23,MN,-9.53408186151378e-06,406.6265822765265,-0.09612319408139229,0.24036017424117434,8.088013243103049e-06
24,MO,-2.0556794336582517e-05,537.0759715882868,-0.38905890246088476,7.931956825913599e-07,3.987556970597126e-06
25,MS,-4.819194591574843e-05,621.5011683136948,-0.2317440999680964,0.004194673239959893,1.6572416514956453e-05
26,MT,-1.1100686788511894e-05,41.97074021814598,-0.37089986338976844,2.7569859144693875e-06,2.2769987790139183e-06
27,NC,-2.3050444477730183e-05,1219.1396069993673,-0.16634879000069824,0.04121231167248685,1.1193681301317858e-05
28,ND,-1.0207439726014328e-07,23.91588662347605,-0.001152114998198236,0.9887982409661693,7.258177277006401e-06
29,NE,-1.1770453653341777e-05,199.70868364881022,-0.0692638080928488,0.39807137162980366,1.3888311119820729e-05
30,NH,-3.8003866626210015e-06,56.16201570012444,-0.06138177101106202,0.4540318202311451,5.06262245158084e-06
31,NJ,-0.00020160651270210327,7348.884705099168,-0.6560010553376291,6.130634095332521e-20,1.900271893860048e-05
32,NM,-2.4989535370753776e-05,240.00232996753547,-0.3283173231242645,3.862074714724872e-05,5.889850089464378e-06
33,NV,-4.392374329463178e-05,516.4398683221966,-0.37821916731499333,1.6837055872520515e-06,8.807253242577047e-06
34,NY,-0.0002132126889145309,18060.48488509092,-0.7325550761052811,1.1441251406708187e-26,1.6230815286745333e-05
35,OH,-1.890767213549032e-05,1060.550725017536,-0.2967789058172569,0.00021534617201684678,4.984146657635363e-06
36,OK,-1.7339254075116257e-05,304.58105786336864,-0.2601411281481701,0.0012560850218997183,5.272447852051569e-06
37,OR,-1.3841106056619604e-05,237.98232476218465,-0.4680809878426254,1.358158144245673e-09,2.1406931752259537e-06
38,PA,-5.874944387386367e-05,2986.2331237776843,-0.602305065673696,2.817630481599945e-16,6.378840490735662e-06
39,RI,-4.8378427681264965e-05,273.3876631723266,-0.10198186741906136,0.21276003987517003,3.866031891821424e-05
40,SC,-2.6709139516950243e-05,693.557623969677,-0.129132898061753,0.11404980363711495,1.6802671532011353e-05
41,SD,-2.609797085721883e-05,121.58766941431946,-0.2039327837355597,0.012018661134054299,1.0263666926943586e-05
42,TN,-1.532350279490543e-05,623.374193216051,-0.1255441100326753,0.12454431193323114,9.920162557180099e-06
43,TX,-3.271675782294723e-05,3853.470197301926,-0.293978813706429,0.0002485491835207539,8.7143207611124e-06
44,UT,-1.794586578905024e-05,344.1774338977789,-0.1634931785948304,0.044871111057006946,8.871321285894706e-06
45,VA,-2.6136912225813034e-05,1164.9968809725156,-0.21910452380749432,0.00687265354442419,9.535132351955746e-06
46,VT,-2.228127097310331e-05,57.129273549811636,-0.620031012281912,2.0818016261202178e-17,2.3097722211463417e-06
47,WA,-3.239248075405792e-05,952.5026835781925,-0.7031310814413404,7.92030819012909e-24,2.6836210001612373e-06
48,WI,-1.1307365680442824e-05,398.2124686417583,-0.16530017748685893,0.04252568670793173,5.526867465103059e-06
49,WV,-4.751786894614097e-06,45.97838226052349,-0.15410285501664694,0.0588633305402231,2.4959401870127376e-06
50,WY,1.228067619139273e-06,7.321001647423771,0.01843231109484312,0.8222617298339026,5.457271570014246e-06
